dataset_id,role,organism,source_url,n_files,n_external_download_files,n_derived_or_processed_files,n_invalid_or_incomplete_files,total_size_bytes,total_size_gib,raw_size_bytes,processed_size_bytes,checksum_covered_files,notes
GO_Biological_Process_2023,interpretive_enrichment_gene_sets,Homo sapiens,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=GO_Biological_Process_2023,1,1,0,0,1374880,0.00128,0,1374880,1,Downloaded GMT; used with 204-gene common analyzable background.
GO_Cellular_Component_2023,interpretive_enrichment_gene_sets,Homo sapiens,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=GO_Cellular_Component_2023,1,0,1,0,268614,0.00025,0,268614,1,Downloaded GMT; used for gene-level annotation of the fixed 13-gene hydrogel translation-residual core.
GPL17518,GSE49414_probe_annotation,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL17518,2,2,0,0,88207511,0.08215,88207511,0,2,Complete Illumina HumanHT-12 V3 platform SOFT annotation.
GPL2895,GSE16944_probe_annotation,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL2895,1,1,0,0,6360585,0.005924,6360585,0,1,GEO platform annotation.
GPL339,GSE27982_probe_annotation,Mus musculus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GPL339,1,1,0,0,5130293,0.004778,5130293,0,1,GEO platform annotation.
GSE104335,SRPK2_mechanism_support,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104335,37,1,36,0,1481725955,1.379965,1481725955,0,37,HTA-2.0 archive with CEL/CHP files; CHP gene-level extraction is derived locally.
GSE135851,human_lamcore_validation,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135851,1,0,1,0,455414758,0.424138,0,455414758,0,"Copied local snapshot with preliminary candidate/other labels, not formal LAMCORE/LAF taxonomy."
GSE16944,historical_rapamycin_insensitive_support,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE16944,1,1,0,0,1901089,0.001771,1901089,0,1,Historical LAM-like rapamycin-insensitive support; incomplete for formal residual/escape interaction.
GSE179044,core_factorial_discovery,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179044,1,1,0,0,2096202,0.001952,2096202,0,1,Complete WT/TSC2-null x vehicle/rapamycin x plastic/hydrogel factorial discovery dataset.
GSE207322,independent_btk_oriented_reference,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207322,2,2,0,0,1345253,0.001253,1345253,0,2,"TMD8 ibrutinib response with WT and BTK C481 mutants; independent pharmacological reference, not LAM."
GSE277844,translation_residual_cross_model_analysis,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277844,1,1,0,0,944947,0.00088,944947,0,1,"Human isogenic TSC2 WT/null neural progenitor-cell total and polysome counts; used for translation-program comparison with GSE179044 residuals, not direct LAM replication."
GSE27982,external_tsc2_rapamycin_2x2,Mus musculus,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27982,1,1,0,0,1102802,0.001027,1102802,0,1,Low-serum mouse MEF external genotype-dependent rapamycin-response validation; not automatic escape proof.
GSE302356,human_lamcore_laf_spatial_validation,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302356,26,6,19,1,10316425651,9.60792,10316418796,6855,24,Multiple non-fully-paired modalities; LAM19 Xenium archive is staged but not in the current module-score pass.
GSE49414,independent_ret_oriented_reference,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49414,1,1,0,0,1656710,0.001543,1656710,0,1,TPC1 RPI-1 versus DMSO profile; RET-oriented but not RET-selective and not LAM.
GSE70138,LINCS_cross_release_cmap_candidate_generation,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70138,9,8,1,0,11199467071,10.430317,5375346513,5824120558,8,LINCS phase/release Level 5 GCTX and metadata; not independent biological replication.
GSE84476,STAT3_mechanism_support,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84476,2,2,0,0,10665193,0.009933,10665193,0,2,STAT3 mechanism-support expression tables.
GSE92742,LINCS_cross_release_cmap_candidate_generation,Homo sapiens,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92742,9,8,1,0,44745370742,41.672374,21365083720,23380287022,8,LINCS phase/release Level 5 GCTX and metadata; not independent biological replication.
Gencode,transcript_gene_annotation,Homo sapiens,https://www.gencodegenes.org/human/,2,2,0,0,88430001,0.082357,88430001,0,2,GENCODE v24/v44 annotations used for transcript-to-gene support.
MSigDB_Hallmark_2020,interpretive_enrichment_gene_sets,Homo sapiens,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=MSigDB_Hallmark_2020,1,1,0,0,44235,4.1e-05,0,44235,1,Downloaded GMT; used with 204-gene common analyzable background.
Mechanism_annotation,derived_transcript_gene_map,Homo sapiens,https://www.gencodegenes.org/human/,1,0,1,0,6632602,0.006177,0,6632602,1,Locally generated transcript-to-gene map from GENCODE v24.
Reactome_2022,interpretive_enrichment_gene_sets,Homo sapiens,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=Reactome_2022,1,1,0,0,778913,0.000725,0,778913,1,Downloaded GMT; used with 204-gene common analyzable background.
Unassigned,supporting_or_derived_data,,,94,0,94,0,916845547,0.853879,0,0,93,
