audit_id,issue,severity,evidence,stage24_disposition,audit_type
A01,Stage20 checkpoint says supports_lam_centered_transcriptional_manifold; Stage21 says state15_lam_rich_gradient_but_not_robust_manifold.,high,Stage20 report; Stage21 report,Retain both chronologically; final synthesis uses Stage21 qualification and Stage22 local branch result.,historical evolution
A02,"Stage6 12 clusters, Stage7 20 consensus states, and full-cohort 33 clusters coexist.",high,stage6_checkpoint.json; state_consensus_state_summary.csv,Add explicit object definitions; do not state that the project has only 12 or only 20 total clusters.,terminology clarification
A03,Stage16 says formal 777 signature unavailable; Stage18 says available.,high,stage16/identity_gate_report.md; stage18/state15_anchor_summary.json,Explain availability changed when data-temp file arrived; Stage16 was not rerun.,chronology
A04,External author-style fields are false/present but not_assayed.,high,stage19/author_annotation_availability.csv,"Use not_assayed, never author-negative; enrichment is only formally assessed in GSE135851.",definition correction
A05,Stage21 independent score has negative patient-adjusted slope but positive pooled Spearman and near/far medians not monotonically decreasing.,high,stage21/gradient_models.csv; non_state15_distance_gradient.csv,Report as scope/shape dependence and patient heterogeneity; do not algebraically reconcile as if they were the same estimand.,statistical qualification
A06,Stage22 State16 p=0.025948 is exploratory and not a universal confirmation of transition.,medium,stage22/branch_evidence_summary.csv,"Call it a transition candidate; retain null, patient consistency and no temporal evidence caveats.",strength downgrade
A07,"All state_by_cell_type values are unknown, while reports sometimes use human cell analogues.",medium,stage7/state_by_cell_type.csv; Stage13/Stage24 interpretation,"Use analogue/inferred lineage terminology, not verified cell_type.",terminology clarification
A08,"Stage13 novel_or_unexplained is false for all rows, but this does not mean all states are biologically explained.",medium,stage13/state_atlas.csv,"Treat this field as the atlas generation flag, not as proof of identity or absence of uncertainty.",interpretation boundary
A09,Stage12 normal and Stage20 normal_remote use different named scopes.,low,stage12/state_auxiliary_summary.csv; stage20/normal_remote_summary.csv,Describe normal as auxiliary comparison and preserve the stage-specific scope.,scope clarification
A10,Stage10 pathway/regulon files exist but contain not_available placeholders.,medium,stage10/state_pathway_enrichment.csv; state_regulon_summary.csv,Do not imply these analyses were completed.,missing evidence
A11,"Stage15 state summaries show FIGF in marker combinations, but duplicate audit is zero.",medium,stage15/state_identity_summary.csv; alias_audit_by_state.csv,Explain that FIGF can appear as the original marker label while no same-cell FIGF+VEGFD double counting was observed.,alias wording
A12,"Stage18/19 anchor language remains provisional, not a formal anchor artifact.",medium,stage18/state15_anchor_report.md; state15_anchor_summary.json,Final report uses LAM-core reference-anchor candidate.,strength downgrade
