state_id,analogue,class,support,conflict,lam,uncertainty,consensus_cells,consensus_patients,consensus_datasets,consensus_cell_type_counts,consensus_candidate_reason_counts,consensus_source_author_style_counts,consensus_source_formal_signature_counts,consensus_known_marker_combo_ge2_cells,consensus_doublet_predicted_cells,consensus_mean_doublet_score,consensus_candidate_annotation_matched_cells,atlas_parent_state,atlas_substate_role,atlas_loo_patient_support,atlas_loo_dataset_support,atlas_full_reference_baseline_jaccard,atlas_loo_additional_loss,atlas_mean_matched_jaccard,atlas_dataset_coverage,atlas_normal_distance,atlas_boundary_connectivity,atlas_upstream_program_correspondence,atlas_novel_or_unexplained,atlas_de_genes,atlas_program_signal,atlas_structural_stability,atlas_biological_reproducibility,atlas_patient_direction_concordance,atlas_patient_coverage,atlas_continuous_evidence_score,repro_supported_patients,repro_patient_coverage,repro_dataset_coverage,repro_structural_stability,repro_direct_within_coassignment,repro_mean_loo_recovery,repro_mean_full_reference_baseline_jaccard,repro_mean_loo_additional_loss,repro_mean_dataset_loo_recovery,repro_biological_reproducibility,repro_patient_direction_concordance,repro_de_support_fraction,repro_effect_size_support_fraction,repro_de_genes,identity_cells,identity_LAM_core_fraction,identity_LAM_boundary_fraction,identity_non_LAM_like_fraction,identity_author_supported_fraction,identity_median_LAM_identity_score,identity_dominant_competing_lineage,identity_competing_lineage_counts,audit_cells,audit_author_style_cells,audit_formal_signature_cells,audit_author_or_formal_fraction,audit_marker_combo_candidate_cells,audit_marker_combo_fraction,audit_dominant_marker_combinations,audit_FIGF_VEGFD_duplicate_pass_cells,audit_FIGF_VEGFD_duplicate_pass_fraction,audit_FIGF_VEGFD_duplicate_pass_fraction_among_marker_combo,audit_median_detected_marker_count,audit_fraction_supported_only_by_1_UMI_detections,audit_only_1_UMI_marker_combo_cells,audit_original_ge2_but_alias_corrected_lt2_cells,audit_datasets,audit_patients,top_program_deltas,top_DE_markers
1,ciliated/airway-like epithelial,relatively_clear_normal-lineage analogue,"Top DE markers include DNAI1, DNAH9, DCDC1 and other cilia genes; strong ciliated geometry/identity signal in Stage16 diagnostic summary.",Upstream cell_type is unknown; Stage13 programs also contain hormone/HOX and interstitial signals.,Not supported as a LAM-core state; likely a normal airway-lineage contaminant within the high-recall pool.,"Moderate: cell-type label is inferred from expression, not an upstream verified annotation.",703,10,4,"{""unknown"": 703}","{""known_marker_combo_and_marker_support"": 703}","{""False"": 703}","{""False"": 703}",703,1,0.1419817731808264,703,4,substate,7.25,0.9059352303478668,0.9775261443999468,0.0145409105176183,0.9820019017271489,4,3.2717679925022587,1.1974789915966386,mTOR_translation;normal_lung_interstitial;lineage_uterine_smooth_muscle;LAM_myogenic_contractile;macrophage_TREM2_TYROBP,False,16905,0.501775474272366,0.9628848873718564,0.3893193992572874,0.774169377896086,0.6666666666666666,0.7770938915630947,8.0,0.6666666666666666,4.0,0.9628848873718564,0.9437678730165636,0.9820019017271489,0.9763125865448968,-0.005689315182252,0.9059352303478668,0.3893193992572874,0.774169377896086,0.132919254658385,0.2608695652173913,16905.0,703,0.0,0.0597439544807965,0.9402560455192034,0.0,-2.328441381454468,ciliated,"{""AT2"": 1, ""ciliated"": 698, ""fibroblast"": 2, ""macrophage"": 1, ""mesothelial"": 1}",703,0,0,0.0,703,1.0,"{""ACTA2 + ESR1"": 40, ""MITF + ACTA2"": 36, ""MITF + ACTA2 + ESR1"": 63, ""MITF + ESR1"": 285, ""MITF + ESR1 + CTSK"": 36}",0,0.0,0.0,2.0,0.1692745376955903,119,0,4,10,hormone_related=0.301; HOX_PBX=0.268; SLS_stem_like=0.182; IL6_AT2_repair=0.044; TGFbeta_fibroblast=-0.017,"ZBBX(8.84), TTC29(8.51), DNAI1(8.23), ADGB(7.95), DNAH9(7.94), VWA3B(7.92), DCDC1(7.78), ARMC4(7.69)"
2,undetermined rare substate,insufficient evidence,One cell only; mTOR/MDK program signal.,No patient or dataset-level reproducibility; no formal DE support.,Cannot establish LAM relationship.,Very high; do not assign a biological analogue.,1,1,1,"{""unknown"": 1}","{""known_marker_combo_and_marker_support"": 1}","{""False"": 1}","{""False"": 1}",1,0,,1,1,substate,8.333333333333334,0.0032717337115961,0.0021887689969857,0.0004100281669671,0.0013715609532246,1,,,mTOR_translation;MDK_dormancy_persistence;macrophage_TREM2_TYROBP;lineage_uterine_smooth_muscle;LAM_myogenic_contractile,False,0,1.1143463438664256,0.5006857804766124,0.0,,0.0,0.167352447143279,0.0,0.0,0.0,0.5006857804766124,1.0,0.0013715609532246,0.0019513385470199,0.0005797775937952,0.0032717337115961,0.0,,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.3121109008789062,ciliated,"{""ciliated"": 1}",1,0,0,0.0,1,1.0,"{""MITF + CTSK"": 1}",0,0.0,0.0,2.0,1.0,1,0,1,1,mTOR_translation=1.114; MDK_dormancy_persistence=0.619; SLS_stem_like=0.256; hypoxia_stress=0.225; IL6_AT2_repair=0.116,
3,"myeloid/inflammatory-like, provisional",insufficient evidence,Four cells; macrophage_TREM2_TYROBP and inflammatory programs.,Only two patients and no formal DE/LOO biological support.,Not sufficient for LAM interpretation.,Very high.,4,2,2,"{""unknown"": 4}","{""known_marker_combo_and_marker_support"": 4}","{""False"": 4}","{""False"": 4}",4,0,,4,0,substate,6.916666666666667,0.0047794140632038,0.0088947639383729,0.0037843234920476,0.0052207825740324,2,,,macrophage_TREM2_TYROBP;lineage_uterine_smooth_muscle;LAM_myogenic_contractile;IS_inflammatory;CORE1,False,0,0.3726557175297116,0.3414992897788756,0.0,,0.0,0.1155733574509693,0.0,0.0,0.0,0.3414992897788756,0.6777777969837189,0.0052207825740324,0.0089406057859825,0.00371982321195,0.0047794140632038,0.0,,0.0,0.0,0.0,4,0.0,0.75,0.25,0.0,1.967423677444458,macrophage,"{""endothelial"": 1, ""fibroblast"": 1, ""macrophage"": 2}",4,0,0,0.0,4,1.0,"{""ACTA2 + CTSK"": 1, ""MITF + ACTA2 + ESR1"": 1, ""MITF + ESR1"": 2}",0,0.0,0.0,2.0,0.0,0,0,2,2,macrophage_TREM2_TYROBP=0.373; IS_inflammatory=0.281; protease_ECM_niche=0.140; hypoxia_stress=0.127; IL6_AT2_repair=0.055,
4,mixed immune–mesenchymal/interstitial,mixed or uncertain,"LAM-myogenic/uterine-smooth and normal-interstitial programs; top markers include IGLV3-21, TNFRSF17, F13A1 and CD163L1.",Immune/plasma-cell-like markers conflict with a simple LAM interpretation; upstream cell_type unknown.,May contain LAM-shared myogenic signal but is not LAM-specific.,High; mixed profile and no single decisive lineage assignment.,550,10,4,"{""unknown"": 550}","{""known_marker_combo_and_marker_support"": 550}","{""False"": 550}","{""False"": 550}",550,0,0.0394567209391595,550,0,substate,8.0,0.7445890257074794,0.8151608384863711,0.026298494341782,0.8036201169569591,4,3.294472275988629,2.0496054114994364,LAM_myogenic_contractile;lineage_uterine_smooth_muscle;normal_lung_interstitial;mTOR_translation;LAF_niche,False,16862,0.4876809033928851,0.7964477901985803,0.4653757956746926,0.7843968686988495,0.75,0.7124601428822703,9.0,0.75,4.0,0.7964477901985803,0.7892754634402015,0.8036201169569591,0.8132425059487609,0.009622388991802,0.7445890257074794,0.4653757956746926,0.7843968686988495,0.2295101411457715,0.3822203771794568,16862.0,550,0.029090909090909,0.7818181818181819,0.1890909090909091,0.0,2.284834384918213,macrophage,"{""AT2"": 9, ""ciliated"": 76, ""endothelial"": 114, ""fibroblast"": 61, ""macrophage"": 279, ""mesothelial"": 11}",550,0,0,0.0,550,1.0,"{""ACTA2 + CTSK"": 36, ""MITF + ACTA2"": 50, ""MITF + CTSK"": 92, ""MITF + ESR1"": 210, ""MITF + ESR1 + CTSK"": 28}",0,0.0,0.0,2.0,0.2127272727272727,117,0,4,10,CORE2=0.113; CORE3_identity=0.039; protease_ECM_niche=-0.014; cell_cycle=-0.045; TGFbeta_fibroblast=-0.049,"IGLV3-21(5.71), TNFRSF17(4.89), CLEC1B(4.57), SDS(4.24), F13A1(4.20), ITGAD(4.10), CD163L1(4.03), MIR137HG(3.98)"
5,macrophage/myeloid-like,relatively clear normal-lineage analogue,"FABP4, APOC1, MARCO, RETN and CCL23; macrophage_TREM2_TYROBP program delta 2.238, the strongest program signal in the atlas.","LAM-myogenic, mTOR and protease programs are also elevated, reflecting shared tissue programs or admixture.",Not LAM-core; LAM-associated programs should not override the strong myeloid analogue.,Low-to-moderate for the broad analogue; exact macrophage subtype is not resolved.,864,10,4,"{""unknown"": 864}","{""author_or_formal_candidate"": 5, ""known_marker_combo_and_marker_support"": 859}","{""False"": 859, ""True"": 5}","{""False"": 864}",864,2,0.0970681860185539,864,0,substate,8.416666666666666,0.8769433963119748,0.9940037246386836,0.0532585981133494,0.9620123699297874,4,3.075114050883912,1.1874139626352016,macrophage_TREM2_TYROBP;mTOR_translation;LAM_myogenic_contractile;lineage_uterine_smooth_muscle;protease_ECM_niche,False,16101,2.2381533276769736,0.950408815502366,0.559758193072894,0.7579653437674678,0.75,0.8075361805681288,9.0,0.75,4.0,0.950408815502366,0.9388052610749448,0.9620123699297874,0.9941629091662684,0.0321505392364811,0.8769433963119748,0.559758193072894,0.7579653437674678,0.3960002484317744,0.5253089870194397,16101.0,864,0.0046296296296296,0.6481481481481481,0.3472222222222222,0.005787037037037,1.2936735153198242,macrophage,"{""AT2"": 6, ""ciliated"": 60, ""endothelial"": 81, ""fibroblast"": 106, ""macrophage"": 606, ""mesothelial"": 5}",864,5,0,0.005787037037037,859,0.9942129629629628,"{""ACTA2 + CTSK"": 157, ""ACTA2 + ESR1"": 63, ""MITF + ACTA2"": 243, ""MITF + CTSK"": 156, ""MITF + ESR1"": 100}",0,0.0,0.0,2.0,0.5203725261932479,447,0,4,10,macrophage_TREM2_TYROBP=2.238; mTOR_translation=0.531; protease_ECM_niche=0.493; MDK_dormancy_persistence=0.279; cell_cycle=0.150,"FABP4(5.90), APOC1(5.40), AGRP(5.39), RETN(5.27), MARCO(5.16), CD52(5.11), CCL23(5.10), IGSF6(4.94)"
6,rare myeloid/AT2-mixed substate,insufficient evidence,Three cells; macrophage and IL6/AT2-repair programs.,"Only two patients, no formal biological reproducibility.",Cannot distinguish LAM biology from a mixed rare state.,Very high.,3,2,2,"{""unknown"": 3}","{""known_marker_combo_and_marker_support"": 3}","{""False"": 3}","{""False"": 3}",3,0,,3,2,substate,7.25,0.0050831402899909,0.0052322205297831,0.000184157822869,0.0050363701792218,2,,,macrophage_TREM2_TYROBP;IL6_AT2_repair;lineage_uterine_smooth_muscle;LAM_myogenic_contractile;ECM_remodeling,False,0,0.6433172822139833,0.4086910368110567,0.0,,0.0,0.1379091356634261,0.0,0.0,0.0,0.4086910368110567,0.8123457034428915,0.0050363701792218,0.0051106604849126,7.429030569078332e-05,0.0050831402899909,0.0,,0.0,0.0,0.0,3,0.0,1.0,0.0,0.0,1.6946613788604736,endothelial,"{""endothelial"": 1, ""fibroblast"": 1, ""macrophage"": 1}",3,0,0,0.0,3,1.0,"{""ACTA2 + ESR1"": 1, ""MITF + ACTA2"": 1, ""PMEL + CTSK"": 1}",0,0.0,0.0,2.0,0.6666666666666666,2,0,2,2,macrophage_TREM2_TYROBP=0.643; mTOR_translation=0.221; MDK_dormancy_persistence=0.203; protease_ECM_niche=0.122; SLS_stem_like=0.060,
7,AT2-like alveolar epithelial/repair,relatively clear normal-lineage analogue,"SFTPC, SFTPA1, SFTPA2, KRT78 and SFTA2; IL6_AT2_repair is the leading program; Stage22 labels its adjacency ordinary lineage adjacency.",Some myogenic/macrophage program overlap is present in the candidate pool.,Not a LAM state on current evidence.,Low-to-moderate; exact repair-state biology remains unresolved.,576,11,4,"{""unknown"": 576}","{""known_marker_combo_and_marker_support"": 576}","{""False"": 576}","{""False"": 576}",576,7,0.1364345414392256,576,1,substate,10.083333333333334,0.6249495494999673,0.9693784348296984,0.440895301212713,0.4963276616559917,4,3.329043134515176,1.4860161591050345,IL6_AT2_repair;macrophage_TREM2_TYROBP;lineage_uterine_smooth_muscle;LAM_myogenic_contractile;normal_lung_interstitial,False,17141,0.6021676872709645,0.6826819842967636,0.3978258755809657,0.6985823464208623,0.9166666666666666,0.5688544669886458,11.0,0.9166666666666666,4.0,0.6826819842967636,0.8690363069375356,0.4963276616559917,0.9692206351148868,0.4728929734588952,0.6249495494999673,0.3978258755809657,0.6985823464208623,0.1774108861793361,0.3174843941426988,17141.0,576,0.0052083333333333,0.8819444444444444,0.1128472222222222,0.0,0.9585691690444946,AT2,"{""AT2"": 275, ""ciliated"": 178, ""endothelial"": 19, ""fibroblast"": 26, ""macrophage"": 8, ""mesothelial"": 70}",576,0,0,0.0,576,1.0,"{""ACTA2 + CTSK"": 30, ""MITF + ACTA2"": 66, ""MITF + CTSK"": 100, ""MITF + ESR1"": 155, ""MITF + ESR1 + CTSK"": 25}",0,0.0,0.0,2.0,0.4461805555555556,257,0,4,11,IL6_AT2_repair=0.602; hormone_related=0.064; TGFbeta_fibroblast=-0.020; HOX_PBX=-0.032; SLS_stem_like=-0.033,"PLA2G1B(4.94), AGTR2(4.92), SFTPC(4.75), SFTPA2(4.75), KRT78(4.70), SFRP5(4.70), SFTA2(4.58), SFTPA1(4.55)"
8,undetermined TGFβ/interstitial rare substate,insufficient evidence,"One cell; TGFbeta_fibroblast, hormone and HOX/PBX signals.",No replication or DE support.,Cannot establish LAM relationship.,Very high.,1,1,1,"{""unknown"": 1}","{""known_marker_combo_and_marker_support"": 1}","{""False"": 1}","{""False"": 1}",1,0,,1,1,substate,7.5,0.0037384895563946,0.0022064629420611,-0.0004162773715363,0.0023184450655619,1,,,ECM_remodeling;TGFbeta_fibroblast;LAM_myogenic_contractile;lineage_uterine_smooth_muscle;normal_lung_interstitial,False,0,0.5017988426122562,0.501159222532781,0.0,,0.0,0.1678258891994476,0.0,0.0,0.0,0.501159222532781,1.0,0.0023184450655619,0.0019559611851768,-0.0003624838803851,0.0037384895563946,0.0,,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.5052263736724854,macrophage,"{""macrophage"": 1}",1,0,0,0.0,1,1.0,"{""MITF + ESR1"": 1}",0,0.0,0.0,2.0,1.0,1,0,1,1,TGFbeta_fibroblast=0.501; hormone_related=0.348; HOX_PBX=0.148; MDK_dormancy_persistence=0.115; cell_cycle=-0.071,
9,mixed repair/interstitial-like,mixed or uncertain,"IL6_AT2_repair, hormone and TGFβ programs; 406 cells across four datasets.","Only five patients, no formal patient-level DE support and weak independent biological evidence.",May reflect tissue-repair programs rather than LAM identity.,High.,406,5,4,"{""unknown"": 406}","{""known_marker_combo_and_marker_support"": 406}","{""False"": 406}","{""False"": 406}",406,1,0.0561002984695842,406,1,substate,4.083333333333333,0.492429557075504,0.9098830049308586,0.3783234602423436,0.5446028738928521,4,3.2736464411223016,1.5862573099415205,LAM_myogenic_contractile;lineage_uterine_smooth_muscle;macrophage_TREM2_TYROBP;normal_lung_interstitial;mTOR_translation,False,0,0.4245185277312718,0.7286135596598886,0.0,,0.25,0.4244054778509136,3.0,0.25,3.0,0.7286135596598886,0.912624245426925,0.5446028738928521,0.9123290909513632,0.3677262170585111,0.492429557075504,0.0,,0.0,0.0,0.0,406,0.0,0.7684729064039408,0.2315270935960591,0.0,0.8601680397987366,ciliated,"{""AT2"": 44, ""ciliated"": 147, ""endothelial"": 62, ""fibroblast"": 96, ""macrophage"": 3, ""mesothelial"": 54}",406,0,0,0.0,406,1.0,"{""ACTA2 + ESR1"": 28, ""MITF + ACTA2"": 38, ""MITF + CTSK"": 25, ""MITF + ESR1"": 103, ""MITF + ESR1 + CTSK"": 22}",0,0.0,0.0,2.0,0.1699507389162561,69,0,4,5,IL6_AT2_repair=0.374; hormone_related=0.230; TGFbeta_fibroblast=0.164; IS_inflammatory=0.025; hypoxia_stress=-0.025,
10,rare myeloid/repair mixed state,insufficient evidence,Four cells; macrophage and IL6/AT2-repair programs.,Single dataset and no patient support.,No reliable LAM conclusion.,Very high.,4,1,1,"{""unknown"": 4}","{""known_marker_combo_and_marker_support"": 4}","{""False"": 4}","{""False"": 4}",4,0,,4,1,substate,6.75,0.0057978780950993,0.0036057653440994,-0.0012745542106619,0.0046300763164874,1,,,macrophage_TREM2_TYROBP;LAF_niche;normal_lung_interstitial;IL6_AT2_repair;mTOR_translation,False,0,0.6473348921778708,0.4467594784634767,0.0,,0.0,0.1504631849266547,0.0,0.0,0.0,0.4467594784634767,0.888888880610466,0.0046300763164874,0.003529547434596,-0.0011005288818913,0.0057978780950993,0.0,,0.0,0.0,0.0,4,0.0,0.0,1.0,0.0,1.7356247901916504,macrophage,"{""ciliated"": 1, ""macrophage"": 3}",4,0,0,0.0,4,1.0,"{""MITF + ACTA2 + ESR1 + CTSK"": 1, ""MITF + VEGFD"": 1, ""MLANA + MITF + ACTA2 + ESR1 + CTSK"": 1, ""PMEL + MITF + ESR1"": 1}",0,0.0,0.0,3.5,0.0,0,0,1,1,macrophage_TREM2_TYROBP=0.647; IL6_AT2_repair=0.245; TGFbeta_fibroblast=0.126; protease_ECM_niche=0.101; CORE2=0.080,
